strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location														
Australia/VIC17454/2020	EPI_ISL_663893	MDU-PHL		Seemann T. et al																	
Australia/VIC9553/2020	EPI_ISL_562031	MDU-PHL		Seemann et al																	
Australia/VIC10223/2020	EPI_ISL_562830	MDU-PHL		Seemann et al																	
Australia/VIC16197/2020	EPI_ISL_640519	VIDRL and MDU-PHL		Caly L. et al B																	
Australia/VIC15686/2020	EPI_ISL_592783	VIDRL and MDU-PHL		Caly L. et al B																	
Australia/VIC15683/2020	EPI_ISL_593411	VIDRL and MDU-PHL		Caly L. et al B																	
Bangladesh/CHRF-0082/2020	EPI_ISL_700332	Child Health Research Foundation		Senjuti Saha et al																	
SouthKorea/KDCA0346/2020	EPI_ISL_760132	"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency"		Ae Kyung Park et al		Europe															
Bangladesh/CU-CTG-16/2020	EPI_ISL_1123267	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology		H. M. Abdullah Al Masud et al																	
Bangladesh/CU-CTG-79/2020	EPI_ISL_1133119	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology		Robiul Hasan Bhuiyan et al																	
Montenegro/ChVir23239/2021	EPI_ISL_1013613	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Kosovo/ChVir23106/2021	EPI_ISL_1027657	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Taiwan/NTU34/2020	EPI_ISL_693305	"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"		Shiou-Hwei Yeh et al A		Europe															
Taiwan/CGMH-CGU-39/2020	EPI_ISL_956320	"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan"		Kuo-Chien Tsao et al A																	
Bangladesh/BCSIR-NILMRC_427/2020	EPI_ISL_603249	"Genomic Research Lab, BCSIR"		Md. Ahashan Habib et al																	
Bangladesh/JUST-GC91.124/2020	EPI_ISL_605783	Genome Center		Md. Shazid Hasan et al																	
SouthKorea/KCDC2666/2020	EPI_ISL_522448	"Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Junyoung Kim et al																	
Bangladesh/CHRF-0100/2020	EPI_ISL_906103	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/CHRF-0075/2020	EPI_ISL_700330	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/GRMDRC-8/2020	EPI_ISL_775217	Gonoshasthya-RNA Molecular Research Center		Nihad Adnan et al																	
Bangladesh/GRBL_S11/2020	EPI_ISL_890193	"Gonoshasthaya-RNA Research Center, Gonoshasthaya-RNA Molecular Diagnostics and Research Center"		Jamiruddin et al																	
Bangladesh/CHRF-0069/2020	EPI_ISL_700339	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/CU-CTG-04/2020	EPI_ISL_735492	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology		Robiul Hasan Bhuiyan et al																	
Bangladesh/CHRF-0076/2020	EPI_ISL_700329	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/CHRF-0012/2020	EPI_ISL_477125	Child Health Research Foundation		Senjuti Saha et al																	
France/PAC-IHU-0971/2020	EPI_ISL_569019	"MEPHI, Aix Marseille University"		Anthony LEVASSEUR et al			Marseille														
Bangladesh/BCSIR-NILMRC_397/2020	EPI_ISL_603240	"Genomic Research Lab, BCSIR"		Tanjina Akhter Banu et al																	
Bangladesh/CHRF-0079/2020	EPI_ISL_700342	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/BCSIR-NILMRC-93/2020	EPI_ISL_833180	"Genomic Research Lab, BCSIR"		Md. Ahashan Habib et al																	
Bangladesh/BCSIR-NILMRC-247/2020	EPI_ISL_490110	"Genomic Research Lab, BCSIR"		Md. Murshed Hasan Sarkar et al																	
Bangladesh/BCSIR-NILMRC-231/2020	EPI_ISL_487373	"Genomic Research Lab, BCSIR"		Iffat Jahan et al																	
Bangladesh/CHRF-0077/2020	EPI_ISL_768742	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/CHRF-0059/2020	EPI_ISL_625472	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/CU-CTG-18/2020	EPI_ISL_735495	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology		Md. Imranul Hoq et al																	
Bangladesh/BCSIR-NILMRC-076/2020	EPI_ISL_466644	"Genomic Research Lab, BCSIR"		Abu Sayeed Mohammad Mahmud et al																	
Bangladesh/BCSIR-NILMRC-103/2020	EPI_ISL_475084	"Genomic Research Lab, BCSIR"		Md. Murshed Hasan Sarkar et al																	
Bangladesh/CHRF-0023/2020	EPI_ISL_477133	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/DNAS_isl_P2-101/2020	EPI_ISL_854991	"NGS Lab, DNA SOLUTION LTD."		Khan et al																	
Bangladesh/DNAS_DRCIM_isl_IH-04/2020	EPI_ISL_774940	DNA SOLUTION LTD.		Md. Imran Khan et al																	
Bangladesh/BCSIR-NILMRC-226/2020	EPI_ISL_487366	"Genomic Research Lab, BCSIR"		Shahina Akter et al																	
Bangladesh/CHRF-0067/2020	EPI_ISL_700338	Child Health Research Foundation		Senjuti Saha et al																	
Australia/VIC10678/2020	EPI_ISL_562293	MDU-PHL		Seemann et al																	
Bangladesh/DNAS_DRCIM_isl_P2-102/2020	EPI_ISL_774924	DNA SOLUTION LTD.		Md. Imran Khan et al																	
Bangladesh/DNAS_DRCIM_isl_P2-101/2020	EPI_ISL_774927	DNA SOLUTION LTD.		Md. Imran Khan et al																	
Bangladesh/CHRF-0025/2020	EPI_ISL_477135	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/BCSIR-NILMRC-196/2020	EPI_ISL_483636	"Genomic Research Lab, BCSIR"		Tanjina Akhter Banu et al																	
Bangladesh/CHRF-0108/2020	EPI_ISL_906104	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/CU-CTG-09/2020	EPI_ISL_735493	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology		Robiul Hasan Bhuiyan et al																	
Bangladesh/BCSIR-NILMRC_393/2020	EPI_ISL_603238	"Genomic Research Lab, BCSIR"		Shahina Akter et al																	
Bangladesh/BCSIR-NILMRC-477/2020	EPI_ISL_1072988	"Genomic Research Lab, BCSIR"		Iffat Jahan et al																	
Bangladesh/CU-CTG-13/2020	EPI_ISL_735494	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology		Md. Imranul Hoq et al																	
Bangladesh/CHRF-0091/2020	EPI_ISL_906094	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/CHRF-0120/2020	EPI_ISL_906083	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/CHRF-0117/2020	EPI_ISL_906092	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/CU-CTG-71/2020	EPI_ISL_735501	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology		H. M. Abdullah Al Masud et al																	
Bangladesh/GRMDRC-5/2020	EPI_ISL_775214	Gonoshasthya-RNA Molecular Research Center		Mohd. Raeed Jamiruddin et al																	
Bangladesh/GRBL_S6/2020	EPI_ISL_890190	"Gonoshasthaya-RNA Research Center, Gonoshasthaya-RNA Molecular Diagnostics and Research Center"		Jamiruddin et al																	
Bangladesh/CU-CTG-02/2020	EPI_ISL_735490	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology		Robiul Hasan Bhuiyan et al																	
Bangladesh/CU-CTG-03/2020	EPI_ISL_1123264	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology		Mohammad Omar Faruque et al																	
Bangladesh/JU-WMSRC-Dhaka-5/2020	EPI_ISL_884088	"COVID Research Cell (CRC), Wazed Miah Science Research Center"		Md. Abdul Matin et al																	
Bangladesh/BCSIR-NILMRC-467/2021	EPI_ISL_964880	"Sher-e-Bangla Nagar, Agargaon, Dhaka-1207, Bangladesh."		Shahina Akter et al																	
Bangladesh/BCSIR-NILMRC-459/2021	EPI_ISL_959545	"Genomic Research Lab, BCSIR"		Md. Saddam Hossain et al																	
Bangladesh/SUST-GEB-Habiganj-3/2020	EPI_ISL_754173	"Specialized Lab for COVID-19 Detection, Department of Genetic Engineering and Biotechnology"		Md. Nazmul Hasan et al																	
Cyprus/Cy145706/2020	EPI_ISL_1164722	"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics"		Jan Richter et al																	
Cyprus/Cy145738/2020	EPI_ISL_1164724	"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics"		Jan Richter et al																	
Bangladesh/BCSIR-NILMRC_421/2020	EPI_ISL_603243	"Genomic Research Lab, BCSIR"		Barna Goswami et al																	
Bangladesh/BCSIR-NILMRC_422/2020	EPI_ISL_603244	"Genomic Research Lab, BCSIR"		Iffat Jahan et al																	
Bangladesh/CU-CTG-57/2020	EPI_ISL_735500	Central Biological Research Laboratory and Department of Biochemistry and Molecular Biology		H. M. Abdullah Al Masud et al																	
Australia/NSW1206/2020	EPI_ISL_667804	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		CIDM-PH et al. et al																	
NewZealand/20CV0599/2020	EPI_ISL_682280	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al																	
NewZealand/20CV0600/2020	EPI_ISL_682281	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al																	
Bangladesh/BCSIR-NILMRC-464/2021	EPI_ISL_959386	"Genomic Research Lab, BCSIR"		Md. Maruf Ahmed Molla et al																	
Bangladesh/CHRF-0098/2020	EPI_ISL_906106	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/BCSIR-NILMRC-436/2021	EPI_ISL_955101	"Genomic Research Lab, BCSIR"		Tanjina Akhtar Banu et al																	
Spain/CE-ISCIII-205119/2020	EPI_ISL_862655	Instituto de Salud Carlos III		Iglesias-Caballero et al A																	
Greece/155/2020	EPI_ISL_434470	"Laboratory of Biology, Department of Medicine, Democritus University of Thrace"		Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)																	
Chile/RM-CMM-0007M/2020	EPI_ISL_629020	"Center for Mathematical Modeling and Center for Genome Regulation. Santiago, Chile"		Bastias M et al																	
Sweden/20-51351/2020	EPI_ISL_475543	The Public Health Agency of Sweden		Oskar Karlsson Lindsjo et al																	
Sweden/20-21508/2020	EPI_ISL_676527	The Public Health Agency of Sweden		Department of Microbiology et al																	
Ireland/LH-NVRL-20IRL52389/2020	EPI_ISL_639895	National Virus Reference Laboratory		Michael Carr et al																	
Ireland/MH-NVRL-20IRL82247/2020	EPI_ISL_639883	National Virus Reference Laboratory		Michael Carr et al																	
Ireland/D-NVRL-75IRL76096/2020	EPI_ISL_671891	National Virus Reference Laboratory		Michael Carr et al																	
Bangladesh/BCSIR-NILMRC_423/2020	EPI_ISL_603245	"Genomic Research Lab, BCSIR"		Iffat Jahan et al																	
Bangladesh/CHRF-0080/2020	EPI_ISL_700331	Child Health Research Foundation		Senjuti Saha et al																	
Bangladesh/CHRF-0087/2020	EPI_ISL_700336	Child Health Research Foundation		Senjuti Saha et al																	
NewZealand/20VR1888/2020	EPI_ISL_579156	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al																	
Ecuador/EC-G-2512/2020	EPI_ISL_826802	Instituto de Salud Publica de Chile		Javier Tognarelli et al																	
Russia/Buryatia-87105/2020	EPI_ISL_428920	"State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms"		Sergey A. Bodnev et al																	
SaudiArabia/KAUST-Jeddah66/2020	EPI_ISL_437755	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Sharif Hala et al																	
Russia/Buryatia-87106/2020	EPI_ISL_428919	"State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms"		Sergey A. Bodnev et al																	
NorthernIreland/NIRE-10731E/2020	EPI_ISL_585137	COVID-19 Genomics UK (COG-UK) Consortium		Conall McCaughey et al																	
Russia/Buryatia-87104/2020	EPI_ISL_428914	"State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms"		Oleg V. Pyankov et al																	
CzechRepublic/FNHK-11801/2020	EPI_ISL_895742	"Molecular biology division, Institute of Clinical Biochemistry and Diagnostics, Charles University, Faculty of Medicine in Hradec Králové and University Hospital Hradec Králové"		Helena Kovaříková et al																	
Ireland/D-NVRL-AIIDV0019v1/2020	EPI_ISL_644319	Irish Coronavirus Sequencing Consortium - National Virus Reference Laboratory		Michael Carr et al																	
NorthernIreland/NIRE-106FC0/2020	EPI_ISL_585094	COVID-19 Genomics UK (COG-UK) Consortium		Conall McCaughey et al																	
Slovakia/UKBA-212/2020	EPI_ISL_577742	"Faculty of Natural Sciences, Comenius University, Bratislava"		Broňa Brejová et al																	
Ecuador/EC-G-5336/2020	EPI_ISL_826812	Instituto de Salud Publica de Chile		Javier Tognarelli et al																	
Netherlands/NH-RIVM-10223/2020	EPI_ISL_804450	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al																	
England/OXON-B2647/2020	EPI_ISL_479162	COVID-19 Genomics UK (COG-UK) Consortium		Tanya Golubchik et al																	
Spain/PV-IBV-004184/2020	EPI_ISL_510471	SeqCOVID-SPAIN consortium/IBV(CSIC)		Gustavo Cilla et al			San Sebastian														
France/ARA-18437/2020	EPI_ISL_508968	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal et al			Bourg-en-Bresse														
Spain/PV-IBV-004227/2020	EPI_ISL_510509	SeqCOVID-SPAIN consortium/IBV(CSIC)		Gustavo Cilla et al			San Sebastian														
Spain/PV-IBV-004225/2020	EPI_ISL_510507	SeqCOVID-SPAIN consortium/IBV(CSIC)		Gustavo Cilla et al			San Sebastian														
NewZealand/20VR2063/2020	EPI_ISL_456355	Institute of Environmental Science and Research (ESR)		Matt Storey et al B																	
Colombia/MET-GVI-97769/2020	EPI_ISL_447802	"Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia Instituto Nacional de Salud, Bogotá, Colombia Icahn School of Medicine at Mount Sinai, New York, USA"		Juan David Ramírez et al A (https://www.medrxiv.org/content/10.1101/2020.06.11.20125799v1)																	
Greece/AYTH_8/2020	EPI_ISL_476835	National Influenza Centre for Northern Greece		Maria Christoforidi et al																	
Thailand/Bangkok-0087/2020	EPI_ISL_447027	COVID-19 Network Investigations (CONI) Alliance		Elizabeth Batty et al A																	
France/ARA-23893/2020	EPI_ISL_508929	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal et al			Lyon														
Italy/APU-UniMI-5428/2020	EPI_ISL_525564	"Beaconlab (Bioinformatics, Evolution and Comparative Genomics lab), Dept of Biosciences, University on Milan"		Parisi A. et al			Brindisi														
Italy/APU-UniMI-5433/2020	EPI_ISL_525567	"Beaconlab (Bioinformatics, Evolution and Comparative Genomics lab), Dept of Biosciences, University on Milan"		Parisi A. et al			Brindisi														
Cyprus/006/2020	EPI_ISL_463746	"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics"		Jan Richter et al																	
Russia/SAM-RARI-1011/2020	EPI_ISL_678276	"Mikrobiologie, RARI"		Krasnov et al																	
Australia/QLD961/2020	EPI_ISL_530236	"Public Health Virology Laboratory, Forensic and Scientific Services, Queensland Health"		Son Nguyen et al et al																	
Italy/APU-UniMI-5439/2020	EPI_ISL_525569	"Beaconlab (Bioinformatics, Evolution and Comparative Genomics lab), Dept of Biosciences, University on Milan"		Parisi A. et al			Brindisi														
