strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location											
Turkey/KU-004/2020	EPI_ISL_495414	"Kafkas University, Faculty of Medicine, Department of Medical Microbiology"		Murat Karamese et al														
Turkey/KU-045/2020	EPI_ISL_495455	"Kafkas University, Faculty of Medicine, Department of Medical Microbiology"		Murat Karamese et al														
Turkey/KU-019/2020	EPI_ISL_495429	"Kafkas University, Faculty of Medicine, Department of Medical Microbiology"		Murat Karamese et al														
Germany/HE-Cento-32491508/2020	EPI_ISL_815365	Centogene		Peter Bauer et al			Obertshausen											
Belgium/ULG-10098/2020	EPI_ISL_427349	GIGA Medical Genomics		Keith Durkin et al B (https://dx.doi.org/10.1101/2020.05.05.078758)														
Belgium/ULG-10103/2020	EPI_ISL_427354	GIGA Medical Genomics		Keith Durkin et al B (https://dx.doi.org/10.1101/2020.05.05.078758)														
Belgium/ULG-10085/2020	EPI_ISL_424645	GIGA Medical Genomics		Keith Durkin et al B (https://dx.doi.org/10.1101/2020.05.05.078758)														
Kashgar/IVDC-01-01/2020	EPI_ISL_850950	"National Institute for Viral Disease Control and Prevention, China CDC"		Xiang Zhao et al														
Netherlands/ZuidHolland_136/2020	EPI_ISL_461309	Erasmus Medical Center		Bas Oude Munnink et al														
Tunisia/COV1339/2020	EPI_ISL_463003	Clinical virology		Fares et al (https://dx.doi.org/10.22541/au.159137642.26983355)														
Tunisia/61627/2020	EPI_ISL_707698	"1-Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2-Neurodegenerative diseases and psychiatric troubles, LR18SP03, Razi Hospital, University of Tunis El Manar, Tunis, Tunisia. 3- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia"		Ilhem Boutiba-Ben Boubaker et al														
Switzerland/BL-ETHZ-190059/2020	EPI_ISL_500920	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al														
NorthMacedonia/29091/2020	EPI_ISL_947678	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		Aleksandar J. Dimovski et al														
Germany/BAV-PL-virotum_ATF7A/2020	EPI_ISL_1092132	"Protzer Lab, Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich"		Ulrike Protzer et al			Munich											
Germany/HH-HPI-p2966/2020	EPI_ISL_960010	"Heinrich Pette Institute, Leibniz Institute for Experimental Virology"		Alexis Robitaille et al														
Switzerland/ZH-ETHZ-250091/2020	EPI_ISL_535609	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al														
Turkey/DEN-PAU02/2020	EPI_ISL_707939	Pamukkale University Department of Medical Genetics		Onur TOKGUN et al. et al														
Denmark/DCGC-2140/2020	EPI_ISL_618403	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Denmark/DCGC-2141/2020	EPI_ISL_618404	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Germany/NW-HHU-254/2020	EPI_ISL_631387	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf											
Germany/NW-RKI-I-010126/2020	EPI_ISL_1140251	Robert Koch Institute		et al														
Turkey/KOC-IST-B303/2020	EPI_ISL_478669	"Microbiology, Koc University"		Can et al														
Belgium/ULG-10158/2020	EPI_ISL_447153	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10176/2020	EPI_ISL_455964	GIGA Medical Genomics		Keith Durkin et al A														
Turkey/ACUTG-2/2020	EPI_ISL_509413	"Acibadem Mehmet Ali Aydinlar University School of Medicine, Medical Genetics Department"		Ozden Hatirnaz Ng et al														
Germany/RP-Cento-34431106/2020	EPI_ISL_815301	Centogene		Peter Bauer et al			Germersheim											
Germany/RP-Cento-37415976/2020	EPI_ISL_815300	Centogene		Peter Bauer et al			Germersheim											
Germany/RP-Cento-33369343/2020	EPI_ISL_815299	Centogene		Peter Bauer et al			Germersheim											
Belgium/ULG-10148/2020	EPI_ISL_447145	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10160/2020	EPI_ISL_447155	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10184/2020	EPI_ISL_455972	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10182/2020	EPI_ISL_455970	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10181/2020	EPI_ISL_455969	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10228/2020	EPI_ISL_498134	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10172/2020	EPI_ISL_455960	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10225/2020	EPI_ISL_498131	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10224/2020	EPI_ISL_498130	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10227/2020	EPI_ISL_498133	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10231/2020	EPI_ISL_498137	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10230/2020	EPI_ISL_498136	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10199/2020	EPI_ISL_471434	GIGA Medical Genomics		Keith Durkin et al A														
Belgium/ULG-10200/2020	EPI_ISL_471435	GIGA Medical Genomics		Keith Durkin et al A														
Switzerland/BL-ETHZ-280082/2020	EPI_ISL_560456	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al														
Turkey/HSGM-201505/2020	EPI_ISL_814091	Ministry of Health Turkey		Fatma Bayrakdar et al A														
Turkey/IST-GLAB-008/2020	EPI_ISL_427391	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al B (https://dx.doi.org/10.1101/2020.05.15.095794)														
Turkey/IST-GLAB-187/2020	EPI_ISL_480274	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
DRC/D09-0684/2020	EPI_ISL_636985	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Jean-Jacques Muyembe Tamfum et al														
Turkey/IST-GLAB-152/2020	EPI_ISL_480251	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Afghanistan/IMB07970/2020	EPI_ISL_1001004	Bundeswehr Institute of Microbiology		Markus Antwerpen et al														
Afghanistan/IMB07960/2020	EPI_ISL_1000999	Bundeswehr Institute of Microbiology		Markus Antwerpen et al														
Turkey/IST-GLAB-012/2020	EPI_ISL_428346	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al B (https://dx.doi.org/10.1101/2020.05.15.095794)														
Belgium/ULG-10222/2020	EPI_ISL_498128	GIGA Medical Genomics		Keith Durkin et al A														
Palestine/23/2020	EPI_ISL_596510	Molecular Genetics Lab		Nouar Qutob et al														
Palestine/24/2020	EPI_ISL_596511	Molecular Genetics Lab		Nouar Qutob et al														
Turkey/IST-GLAB-231/2020	EPI_ISL_735298	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Turkey/IST-GLAB-086/2020	EPI_ISL_480241	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Turkey/IST-GLAB-121/2020	EPI_ISL_735269	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Turkey/IST-GLAB-123/2020	EPI_ISL_735271	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Turkey/IST-GLAB-225/2020	EPI_ISL_735293	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Turkey/IST-GLAB-162/2020	EPI_ISL_480257	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Latvia/05/2020	EPI_ISL_426285	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al														
Belgium/ULG-10126/2020	EPI_ISL_427372	GIGA Medical Genomics		Keith Durkin et al B (https://dx.doi.org/10.1101/2020.05.05.078758)														
Belgium/ULG-10133/2020	EPI_ISL_427378	GIGA Medical Genomics		Keith Durkin et al B (https://dx.doi.org/10.1101/2020.05.05.078758)														
Belgium/ULG-10106/2020	EPI_ISL_427357	GIGA Medical Genomics		Keith Durkin et al B (https://dx.doi.org/10.1101/2020.05.05.078758)														
Turkey/IST-GLAB-196/2020	EPI_ISL_480280	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Netherlands/ZuidHolland_190/2020	EPI_ISL_461362	Erasmus Medical Center		Bas Oude Munnink et al														
Turkey/IST-GLAB-153/2020	EPI_ISL_480252	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Netherlands/NA_708/2020	EPI_ISL_461143	Erasmus Medical Center		Bas Oude Munnink et al														
Ecuador/USFQ-163/2020	EPI_ISL_525430	"Institute of Microbiology, Universidad San Francisco de Quito"		Juan José Guadalupe et al														
Netherlands/NA_650/2020	EPI_ISL_461085	Erasmus Medical Center		Bas Oude Munnink et al														
Egypt/CPHL-NRC-20/2020	EPI_ISL_794593	"Central Laboratories, Egyptian Ministry of Health and Population"		Roshdy et al														
Peru/JUN-INS-131/2020	EPI_ISL_536528	Laboratorio de Infecciones Respiratorias Agudas		Eduardo Juscamayta Lopez et al														
Peru/JUN-INS-282/2020	EPI_ISL_1093177	Laboratorio de Referencia Nacional de Biotecnología y Biología Molecular. Instituto Nacional de Salud Perú		Carlos Padilla Rojas et al														
Switzerland/ZH-UZH-IMV-446fc2dd/2020	EPI_ISL_939672	"Institute of Medical Virology, University of Zurich"		Stefan Schmutz et al B														
Serbia/Sabac-000251204/2020	EPI_ISL_833574	"Veterinary Specialized Institute ""Sabac"", Serbia"		Vidanovic et al														
Egypt/CPHL-NRC-21/2020	EPI_ISL_794604	"Central Laboratories, Egyptian Ministry of Health and Population"		Kayed et al														
Netherlands/ZE-RIVM-21047/2020	EPI_ISL_791061	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Ghana/84049_S31/2020	EPI_ISL_515102	"WACCBIP, University of Ghana"		Ngoi et al														
Ghana/84279_S42/2020	EPI_ISL_515108	"WACCBIP, University of Ghana"		Ngoi et al														
Poland/Mazowieckie_MWB_182/2021	EPI_ISL_1084635	"0. Laboratory of Recombinant Vaccines, Intercollegiate Faculty of Biotechnology University of Gdansk and Medical University of Gdansk, 2. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University"		Lukasz Rabalski et al														
Israel/CVL-153-ngs/2020	EPI_ISL_776804	Israel Central Virology laboratory		Neta Zuckerman et al														
Israel/CVL-982ngs/2020	EPI_ISL_889295	Israel National Consortium for SARS-CoV-2 sequencing		Neta Zuckerman et al														
Israel/CVL-981ngs/2020	EPI_ISL_889294	Israel National Consortium for SARS-CoV-2 sequencing		Neta Zuckerman et al														
Israel/CVL-46323/2020	EPI_ISL_745068	Israel Central Virology laboratory		Neta Zuckerman et al														
USA/CA-SCCPHD-UC104/2020	EPI_ISL_435583	"Chiu Laboratory, University of California, San Francisco"		Xianding Deng et al A														
Taiwan/NTU03/2020	EPI_ISL_413592	"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"		Shiou-Hwei Yeh et al A		Europe												
Greece/234_31670/2020	EPI_ISL_437894	"Laboratory of Biology, Department of Medicine, Democritus University of Thrace"		Kassela K. et al (https://dx.doi.org/10.1101/2020.06.03.20121236)														
Lebanon/S1_758/2020	EPI_ISL_450508	Rafik Hariri University Hospital		Rita Feghali et al		Africa												
Mexico/BCN-ALSR-2523/2020	EPI_ISL_635527	Andersen lab at Scripps Research		SEARCH Alliance San Diego with Idanya Rubí Serafín Higuera et al														
Morocco/FMP-69/2021	EPI_ISL_1105946	Laboratoire de Biotechnologie		Myriam Seffar et al														
Morocco/FMP-67/2021	EPI_ISL_1103579	Laboratoire de Biotechnologie		Myriam Seffar et al														
Spain/CT-HUVH-69790/2021	EPI_ISL_1125321	Hospital Universitari Vall d'Hebron		Cristina Andrés et al														
Morocco/FMP-71/2021	EPI_ISL_1109622	Laboratoire de Biotechnologie		Hakima Kabbaj et al														
Morocco/FMP-84/2021	EPI_ISL_1159700	Laboratoire de Biotechnologie		Tarik Aanniz et al														
Morocco/FMP-76/2021	EPI_ISL_1116555	Laboratoire de Biotechnologie		Ghizlane EL Amin et al														
France/PAC-IHUCOVID-2874/2020	EPI_ISL_896188	"MEPHI, Aix Marseille University"		Anthony LEVASSEUR et al			Marseille											
France/PAC-IHUCOVID-2980/2020	EPI_ISL_896199	"MEPHI, Aix Marseille University"		Anthony LEVASSEUR et al			Marseille											
France/NAQ-SC577/2020	EPI_ISL_663228	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal et al			Poitiers											
France/IDF_PSL_232/2020	EPI_ISL_1014996	"Department of Virology, Pitié-Salpêtrière hospital"		Valentin Leducq et al														
Mexico/CMX-IBT-IMSS-06/2020	EPI_ISL_955249	BIOBANCO / COCTI		Borja-Aburto VH et al														
Egypt/MASRI-C4-023/2020	EPI_ISL_1165083	"Medical Ain Shams Research Institute (MASRI), Ain Shams University"		Hesham Elghazaly et al														
Turkey/IST-GLAB-007/2020	EPI_ISL_480231	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Brazil/SP-L34-CD878/2020	EPI_ISL_721989	Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo		Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics et al														
Brazil/SP-L33-CD857/2020	EPI_ISL_722003	Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo		Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics et al														
Peru/JUN-INS-074/2020	EPI_ISL_524471	Laboratorio de Referencia Nacional de Biotecnología y Biología Molecular. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		Carlos Padilla Rojas et al														
Peru/JUN-UPCH-0118/2020	EPI_ISL_568515	"Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia"		Pablo Tsukayama et al														
Argentina/C1374/2020	EPI_ISL_420599	Instituto Nacional Enfermedades Infecciosas C.G.Malbran		Baumeister E. et al B (https://dx.doi.org/10.1101/2020.05.23.20111443)														
Argentina/PAIS-E0001/2020	EPI_ISL_792500	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		Eberhardt et al														
Argentina/PAIS-E0005/2020	EPI_ISL_792504	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		Eberhardt et al														
Argentina/PAIS-E0004/2020	EPI_ISL_792503	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		Eberhardt et al														
Argentina/PAIS-E0006/2020	EPI_ISL_792505	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		Eberhardt et al														
Argentina/PAIS-E0002/2020	EPI_ISL_792501	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		Eberhardt et al														
Argentina/PAIS-E0003/2020	EPI_ISL_792502	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		Eberhardt et al														
